,Inventaire passé,,,Consommation depuis,,,Inventaire actuel,,,Consommation/jr,,,,Reste pour,,,Commande,,,Vanne,,Silo après remplissage,,,Consommation annuelle,,Valeur,Total annuel,
,,,,,,,,,,,,,,,,,31,jrs,,,,,,,,,,,
Silo #2 -Low group,0.49,tm,,0.36,,tm,0.13,tm,129,,90,kg,,1,jours,,2.7 ,Vrac (Silo 18tm),,21.4 ,,2.8 ,tm,,33,tm,970.85," 32,007    ",
Silo #1 -Prémix,1.75,tm,,1.38,,tm,0.37,tm,367,,346,kg,,1,jours,,10.4 ,Vrac (Silo 18tm),,,,10.7 ,tm,,126,tm,1172," 147,943    ",
Silo #3 -Amino+,6.81,tm,,1.66,,tm,5.15,tm,"5,155",,414,kg,,12,jours,,7.7 ,Vrac (Silo 18tm),,,,12.8 ,tm,,151,tm,670," 101,210    ",
Tourteau canola,12.92,tm,,4.40,,tm,8.52,tm,"8,521",,1100,kg,,8,jours,,25.6 ,Commodité,,,,34.1 ,tm,,401,tm,371," 148,925    ",
Silo #4 Fraîche,1.18,tm,,0.43,,tm,0.75,tm,750,,108,kg,,7,jours,,2.6 ,Vrac (Silo 10tm),,,,3.3 ,tm,,39,tm,1094.05," 42,939    ",
Silo #5 -Taries,0.76,tm,,0.37,,tm,0.39,tm,390,,92,kg,,4,jours,,2.5 ,Vrac (Silo 10tm),,,,2.9 ,tm,,34,tm,1601.6," 54,055    ",
Minéral Taures,29,poches,,3,,poches,26,poches,516,20,20.4,kg,,25,jours,,2.9 ,poches (25kg),,,,,,,7,tm,1360," 10,145    ",
Écaille de soya,31.02,tm,,1,,tm,29.73,tm,"29,729",,323,kg,,92,jours,,(19.7),Vrac,,,,,,,118,tm,280," 32,994    ",
Gras PALMIT,275,poches,,0,,poches,275,poches,"6,875",25,0.0,kg,,#DIV/0!,jours,,#DIV/0!,poches (25kg),,,,,,,0,tm,1401, -      ,
Gras Nurisol,18,poches,,4,,poches,14,poches,350,25,25.0,kg,,14,jours,,,,,,,,,,9,tm,2918.173905," 26,628    ",
Crème DLP,26011,kg,,5909,,litres,20102,kg,"20,102",,1477,kg,,14,jours,,25695 ,litres,,,,,,,539217,lt,0.039285714," 21,184    ",
Silo #8 -moulée veaux,0.23,tm,,0.69,,tm,-0.46,tm,-462,,173,kg,1.3,-3,jours,,5.8 ,Vrac (Silo 10tm),,,,5.4 ,tm,,63,tm,857.3," 54,145    ",
Poudre de lait 24-18,29.6,sacs,,7,,poches,22.6,poches,452,20,35,kg,,13,jours,,0.6 ,palette (1000kg),,,,,,,13,tm,4975," 63,556    ",
Maïs rond,10.2,tm,,4.10,,tm,6.1,tm,"6,096",,1026,kg,,6,jours,,,,,,,,,,374,tm,275," 102,978    ",
X-Zelith,30.2,sacs,,39,,kg,28.3,sacs,565,20,10,kg,,58,jours,,,,,,,,,,4,tm,4900," 17,345    ",
Drèche Varennes,4.8,tm,,2.223820225,,tm,2.6,tm,2576.179775,,556,kg,,5,jours,,,,,,,,,,,,," 597,185  $ ",par année
,,,,,,,,,,,,,,,,,,,,,,,,,,,," 1,636  $ ",par jour
,,rempli,,dû,,,,,,,,,,,,,,,,,,,,,,,, 5.68  $ ,par vaches en lait
Livraison vrac gr1,0,29-May,,22-Jun,,,,,,,,,,,,,,,,,,,,,,,,,
Livraison vrac gr2-3,0,21-May,,22-Jun,,,,,,,,,,,,,,,,,,,,,,,,,
Livraison vrac gr4,0,21-May,,22-Jun,,,Mis à jour :,,2026/06/18,,,,,,,,,,,,,,,,,,,,
Livraison t. Canola,4,26-May,,26-Jun,,,Aujourd'hui,,2026/06/22,,,,,,,,,,,,,,,,,,,T. Soya,
Livraison DLP,11,12-Jun,,3-Jul,,,Temps passé,,4,jrs,,,,,,,,,,,,,,,,,,,
Livraison Amino+,9,27-May,,1-Jul,,,,,,,,,,,,,,,,,,,,,,,,,
Maïs rond,6,29-Apr,,28-Jun,,,,,,,,,,,,,,,,,,,,,,,,,
Silo #8 -moulée veaux,-8,19-May,,14-Jun,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
