Inventaires Fourrages,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,6/22/2026,,,,,,,,
Foin,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grosses balles,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Qté,Description,Poids (kg),% MS,Total (t.m.) MS,Total (t.m.) TQS,Prix/t.m.,Valeur ($),Commentaires,,,,Emplacement,No analyse,Hybride,Inoculant,
,Sec,,,,,,,,,,,,,,,
30,Foin sec Coulombe haché,329,86%,8.5,9.9,264.552," 2,611 $ ",,,,,lousse,,,,
39,Balles graminée sec Coulombe,372,86%,12.5,14.5,275.575," 4,000 $ ",16.00130215 ton courte,,,,,(09-04-2026),,,
0,,,86%,0.0,0.0,308, -   $ ,(poids approx),,,,,,,,
0,,,86%,0.0,0.0,170, -   $ ,,,,,,,,,
,Enrobés,,,,,,,,,,,,,,,
0,,,70%,0.0,0.0,200, -   $ ,,,,,,,,,
0,,,45%,0.0,0.0,200, -   $ ,,,,,,,,,
0,,,60%,0.0,0.0,200, -   $ ,,,,,,,,,
0,,,72%,0.0,0.0,200, -   $ ,,,,,,,,,
69,,,,,,," 6,611 $ ",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ensilage,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bunkers,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nb de pieds,Description,t.m./pied,% MS,Total (t.m.) MS,Total (t.m.) TQS,Prix/t.m.,Valeur ($),Commentaires,,,,date de récolte,Faucher,hybride,préservatif,
,,,,,,,,,,,,,,,,
180,Cellule 1 [Ens. Foin 1e 2026],5.5,36%,356,990,65," 64,350 $ ",Environ 900tm à 40% (JD),,,,15-Jun-26,14-15 juin 2026,Althea/Althoria,1174,"toiler rapidement, le soir"
72,Cellule 2 [Ens. Foin 2e 2025],4.5,38%,123,324,90," 29,160 $ ","Environ 550tm à 40% MS (2e coupe luzerne mature «80jrs», avoine épiée",,,,4-Oct-25,3-4 octobre 2025,Althea/Althoria,1174,toiler rapidement
0,Cellule 3 [],5,30%,0,0,90, -   $ ,,,,,,,,,
180,Cellule 4 [Ens Maïs 2025],5.5,36%,356,990,90," 89,100 $ ",Environ 1000tm à 36% (P9823Q 800tm / 200tm MZ3528DBR),,,,30-Sep-25,,P9823Q (80%) - MZ3528 (20%),1174,"rouleau craquer usé, un peu de sec à cause de la pointe de sable"
0,Cellule 5 [],5.5,37%,0,0,90, -   $ ,,,,,,,,,
0,Cellule 6 [],5,35%,0,0,90, -   $ ,,,,,,,,,
123,Cellule 7 [Ens. Maïs 2025],11.5,30%,424,1414.5,90," 127,305 $ ",2000tm à 30%MS,,,,23-24 septembre 2025,,P9823Q,1174,"toiler au gros soleil, canicule"
,Meule 8 [],11,32%,0,0,90, -   $ ,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,," 309,915 $ ",,,,,,,,,
,,,,,,,,,,,,,,,,
Ag Bag,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nb de pieds,Description,t.m./pied,% MS,Total (t.m.) MS,Total (t.m.) TQS,Prix/t.m.,Valeur ($),Commentaires,,,,,,,,
,,,,,,,,,,,,,,,,
0,,0.9,35%,0,0,60, -   $ ,,,,,,,,,
0,,0.9,35%,0,0,60, -   $ ,,,,,,,,,
0,,0.9,35%,0,0,60, -   $ ,,,,,,,,,
0,,1.2,32%,0,0,60, -   $ ,,,,,,,,,
,,,,,0,, -   $ ,,,,,,,,,
Silos,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nb de portes,Description,t.m./porte,%MS,Total (t.m.) MS,Total (t.m.) TQS,Prix/t.m.,Valeur ($),Commentaires,,,,,,,,
,,,,,,,,,,,,,,,,
19,Silo bleu (25x80),5.5,85%,89,105.0,240," 25,200 $ ",Toxine??,,60@70-24-AB4,,Commencé le 26 septembre,0.360,tm/jr,,
0,Silo vert (20x70),13,44%,0,0,75, -   $ ,,,,,,292,jours,,
,,,,,,,,,,,,,,,,
,,,,,,," 25,200 $ ",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Paille,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Grosses balles,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Qté,Description,Poids (kg),%MS,Total (t.m.) MS,Total (t.m.) TQS,Prix/t.m.,Valeur ($),Commentaires,,,,,,,,
,,,,,,,,,,,,,,,,
130,Balles carrées sec [3x3x7],270,86%,30,35.1,200," 7,020 $ ",,,,,,,,,
130,Balles carrées sec [3x3x7],270,86%,30,35.1,200," 7,020 $ ",,,,,,,,,
60,Balles carrées sec [3x3x7],270,87%,14,16.2,200," 3,240 $ ",,,,,,,,,
0,Balles carrées sec [3x3x7],250,86%,0,0,200, -   $ ,,,,,,,,,
0,Balles carrées sec [3x3x7],250,86%,0,0,200, -   $ ,,,,,,,,,
0,Paille lousse,270,88%,0,0,180, -   $ ,,,,,,,,,
,,,,,,,,,,,,,,,,
320,,,,164,191.4,tm," 42,480 $ ",,,,,,,,,
,,,,,,,,,,,,,,,,
